id,y_true,p_correct,y_pred
931,0,0.02554727594057719,0
932,0,0.05554292847712835,0
933,0,0.039130061864852905,0
934,0,0.024954988310734432,0
935,0,0.02554727594057719,0
936,0,0.039130061864852905,0
937,0,0.04788439720869064,0
938,0,0.02554727594057719,0
939,0,0.02554727594057719,0
940,0,0.02554727594057719,0
941,0,0.053487940380970635,0
942,0,0.02554727594057719,0
943,0,0.028342586010694504,0
944,0,0.024954988310734432,0
945,0,0.02554727594057719,0
946,0,0.024954988310734432,0
947,0,0.024954988310734432,0
948,0,0.02554727594057719,0
949,0,0.02554727594057719,0
950,0,0.024954988310734432,0
951,0,0.02554727594057719,0
952,0,0.039130061864852905,0
953,0,0.04193824281295141,0
954,0,0.02554727594057719,0
955,0,0.04684935510158539,0
956,0,0.024954988310734432,0
957,0,0.039130061864852905,0
958,0,0.05554292847712835,0
959,0,0.03713480134805044,0
960,0,0.024954988310734432,0
961,0,0.03456190228462219,0
962,0,0.024954988310734432,0
963,0,0.024954988310734432,0
964,1,0.024954988310734432,0
965,0,0.02554727594057719,0
966,0,0.04684935510158539,0
967,0,0.02554727594057719,0
968,0,0.06593253960212071,0
969,0,0.02554727594057719,0
970,0,0.02554727594057719,0
971,0,0.04193824281295141,0
972,0,0.02554727594057719,0
973,0,0.039130061864852905,0
974,0,0.02554727594057719,0
975,0,0.03713480134805044,0
976,0,0.04684935510158539,0
977,0,0.04684935510158539,0
978,0,0.02554727594057719,0
979,0,0.02554727594057719,0
980,0,0.02554727594057719,0
981,0,0.02554727594057719,0
982,0,0.024954988310734432,0
983,0,0.024954988310734432,0
984,0,0.03633475179473559,0
985,0,0.03456190228462219,0
986,0,0.02554727594057719,0
987,0,0.02554727594057719,0
988,0,0.02554727594057719,0
989,0,0.024954988310734432,0
990,1,0.04684935510158539,0
991,0,0.024954988310734432,0
992,0,0.024954988310734432,0
993,0,0.024954988310734432,0
994,0,0.039130061864852905,0
995,1,0.06593253960212071,0
996,0,0.02554727594057719,0
997,0,0.039130061864852905,0
998,0,0.05554292847712835,0
999,0,0.03713480134805044,0
1000,0,0.02554727594057719,0
1001,0,0.02554727594057719,0
1002,0,0.03736979390184084,0
1003,1,0.05245289827386538,0
1004,0,0.04684935510158539,0
1005,0,0.04684935510158539,0
1006,0,0.02554727594057719,0
1007,0,0.028342586010694504,0
1008,0,0.024954988310734432,0
1009,0,0.024954988310734432,0
1010,0,0.039130061864852905,0
1011,0,0.04684935510158539,0
1012,0,0.02554727594057719,0
1013,0,0.039130061864852905,0
1014,0,0.05245289827386538,0
1015,0,0.028342586010694504,0
1016,0,0.028342586010694504,0
1017,0,0.02554727594057719,0
1018,0,0.03456190228462219,0
1019,0,0.02554727594057719,0
1020,0,0.04788439720869064,0
1021,0,0.02554727594057719,0
1022,0,0.024954988310734432,0
1023,0,0.028342586010694504,0
1024,0,0.04684935510158539,0
1025,0,0.02554727594057719,0
1026,0,0.05554292847712835,0
1027,0,0.024954988310734432,0
1028,0,0.024954988310734432,0
1029,0,0.02554727594057719,0
1030,0,0.024954988310734432,0
1031,0,0.028342586010694504,0
1032,0,0.02554727594057719,0
1033,0,0.024954988310734432,0
1034,0,0.02554727594057719,0
1035,0,0.02554727594057719,0
1036,0,0.05554292847712835,0
1037,0,0.04788439720869064,0
1038,0,0.024954988310734432,0
1039,0,0.04684935510158539,0
1040,0,0.024954988310734432,0
1041,0,0.039130061864852905,0
1042,0,0.04193824281295141,0
1043,0,0.04684935510158539,0
1044,0,0.024954988310734432,0
1045,0,0.02554727594057719,0
1046,0,0.02554727594057719,0
1047,0,0.02554727594057719,0
1048,0,0.028342586010694504,0
1049,0,0.04193824281295141,0
1050,0,0.028342586010694504,0
1051,0,0.02554727594057719,0
1052,0,0.039130061864852905,0
1053,0,0.031766592214504875,0
1054,0,0.024954988310734432,0
1055,0,0.03713480134805044,0
1056,0,0.03713480134805044,0
1057,0,0.024954988310734432,0
1058,0,0.03713480134805044,0
1059,0,0.02554727594057719,0
1060,0,0.037487161656220756,0
1061,0,0.024954988310734432,0
1062,0,0.039130061864852905,0
1063,0,0.04684935510158539,0
1064,0,0.02554727594057719,0
1065,0,0.02554727594057719,0
1066,0,0.039130061864852905,0
1067,0,0.039130061864852905,0
1068,0,0.039130061864852905,0
1069,0,0.037487161656220756,0
1070,0,0.028342586010694504,0
1071,0,0.024954988310734432,0
1072,0,0.028342586010694504,0
1073,0,0.028342586010694504,0
1074,0,0.02554727594057719,0
1075,0,0.024954988310734432,0
1076,0,0.02554727594057719,0
1077,0,0.024954988310734432,0
1078,0,0.024954988310734432,0
1079,0,0.03469185158610344,0
1080,0,0.02554727594057719,0
1081,0,0.02554727594057719,0
1082,0,0.024954988310734432,0
1083,0,0.02554727594057719,0
1084,0,0.028342586010694504,0
1085,0,0.028342586010694504,0
1086,0,0.02554727594057719,0
1087,0,0.024954988310734432,0
1088,0,0.039130061864852905,0
1089,0,0.02554727594057719,0
1090,0,0.10531661907831828,0
1091,0,0.024954988310734432,0
1092,0,0.039130061864852905,0
1093,0,0.024954988310734432,0
1094,0,0.037487161656220756,0
1095,0,0.02554727594057719,0
1096,1,0.024954988310734432,0
1097,0,0.024954988310734432,0
1098,1,0.024954988310734432,0
1099,0,0.024954988310734432,0
1100,0,0.024954988310734432,0
1101,0,0.04684935510158539,0
1102,0,0.02554727594057719,0
1103,0,0.02554727594057719,0
1104,0,0.04193824281295141,0
1105,0,0.04788439720869064,0
1106,0,0.037487161656220756,0
1107,0,0.04193824281295141,0
1108,0,0.02554727594057719,0
1109,0,0.024954988310734432,0
1110,0,0.02554727594057719,0
1111,0,0.039130061864852905,0
1112,0,0.039130061864852905,0
1113,0,0.058274008333683014,0
1114,0,0.02554727594057719,0
1115,0,0.024954988310734432,0
1116,0,0.028342586010694504,0
1117,0,0.03713480134805044,0
1118,0,0.04788439720869064,0
1119,0,0.047759405026833214,0
